[2025-05-07T03:10:19.832+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T03:07:53.793360+00:00 [queued]>
[2025-05-07T03:10:19.836+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T03:07:53.793360+00:00 [queued]>
[2025-05-07T03:10:19.836+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2025-05-07T03:10:19.842+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): human_review> on 2025-05-07 03:07:53.793360+00:00
[2025-05-07T03:10:19.846+0000] {standard_task_runner.py:57} INFO - Started process 1707 to run task
[2025-05-07T03:10:19.849+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'lgbtq_model_pipeline', 'human_review', 'manual__2025-05-07T03:07:53.793360+00:00', '--job-id', '22', '--raw', '--subdir', 'DAGS_FOLDER/lgbtq_model_pipeline.py', '--cfg-path', '/tmp/tmpf125lmvw']
[2025-05-07T03:10:19.852+0000] {standard_task_runner.py:85} INFO - Job 22: Subtask human_review
[2025-05-07T03:10:19.880+0000] {task_command.py:416} INFO - Running <TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T03:07:53.793360+00:00 [running]> on host 6fdcfcafebfc
[2025-05-07T03:10:19.916+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='lgbtq_model_pipeline' AIRFLOW_CTX_TASK_ID='human_review' AIRFLOW_CTX_EXECUTION_DATE='2025-05-07T03:07:53.793360+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-05-07T03:07:53.793360+00:00'
[2025-05-07T03:10:19.918+0000] {logging_mixin.py:154} INFO - 👀 Checking for enough articles in review queue...
[2025-05-07T03:10:19.921+0000] {logging_mixin.py:154} INFO - ✅ Found 73 files — simulating human review...
[2025-05-07T03:10:19.921+0000] {logging_mixin.py:154} INFO - 💌 Sending email to team...
[2025-05-07T03:10:19.921+0000] {logging_mixin.py:154} INFO - hiyyyy time 2 label these new entries babe okthxbye
[2025-05-07T03:10:19.922+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_248 — already exists in new_data.
[2025-05-07T03:10:19.922+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
[2025-05-07T03:10:19.922+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
[2025-05-07T03:10:19.922+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_246 — already exists in new_data.
[2025-05-07T03:10:19.923+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
